Name,DIY,Buy_Price,Sell_Price,Color 1,Color 2,Style,Type,Balance
A tee,No,560,140,Blue,White,Simple,Top,-420
acid-washed jacket,No,1680,420,Blue,Blue,Simple,Top,-1260
acid-washed jacket,No,1680,420,Black,Black,Simple,Top,-1260
after-school jacket,No,1050,262,Black,Red,Cool,Top,-788
after-school jacket,No,1050,262,Red,Green,Cool,Top,-788
after-school jacket,No,1050,262,Green,Yellow,Cool,Top,-788
after-school jacket,No,1050,262,White,Black,Cool,Top,-788
after-school jacket,No,1050,262,Purple,Blue,Cool,Top,-788
after-school jacket,No,1050,262,Gray,White,Cool,Top,-788
after-school jacket,No,1050,262,Blue,Purple,Cool,Top,-788
animal-print coat,No,2320,580,Blue,Light blue,Cute,Top,-1740
animal-print coat,No,2320,580,Green,Green,Cute,Top,-1740
animal-print coat,No,2320,580,Purple,Purple,Cute,Top,-1740
animal-print coat,No,2320,580,Pink,Pink,Cute,Top,-1740
animal-stripes tee,No,960,240,Yellow,Black,Cool,Top,-720
animal-stripes tee,No,960,240,Gray,Black,Cool,Top,-720
annyeong tee,No,640,160,Light blue,White,Simple,Top,-480
anorak jacket,No,1400,350,Beige,Beige,Simple,Top,-1050
anorak jacket,No,1400,350,Red,Red,Simple,Top,-1050
anorak jacket,No,1400,350,Blue,Blue,Simple,Top,-1050
apron,No,840,210,Orange,White,Simple,Top,-630
apron,No,840,210,Green,White,Simple,Top,-630
apron,No,840,210,Blue,White,Simple,Top,-630
apron,No,840,210,Pink,White,Simple,Top,-630
apron,No,840,210,Light blue,White,Simple,Top,-630
apron,No,840,210,Purple,White,Simple,Top,-630
apron,No,840,210,Gray,White,Simple,Top,-630
apron,No,840,210,Brown,White,Simple,Top,-630
Aran-knit cardigan,No,1300,325,Beige,Beige,Simple,Top,-975
Aran-knit cardigan,No,1300,325,Light blue,Light blue,Simple,Top,-975
Aran-knit cardigan,No,1300,325,Pink,Pink,Simple,Top,-975
Aran-knit cardigan,No,1300,325,Yellow,Yellow,Simple,Top,-975
Aran-knit sweater,No,1200,300,Red,Red,Simple,Top,-900
Aran-knit sweater,No,1200,300,White,White,Simple,Top,-900
Aran-knit sweater,No,1200,300,Gray,Gray,Simple,Top,-900
Aran-knit sweater,No,1200,300,Green,Green,Simple,Top,-900
Aran-knit sweater,No,1200,300,Black,Black,Simple,Top,-900
Aran-knit sweater,No,1200,300,Orange,Orange,Simple,Top,-900
